"segment_id","time_cluster","start","end","n_records","start_x","start_y","length_max","length_min","delay_max","delay_min","absolute_speed_max","absolute_speed_min","absolute_speed_Q25","absolute_speed_Q50","absolute_speed_Q75","message","duration_hours","length_measured"
88,1,2017-01-01 00:00:00,2017-01-03 12:20:00,725,"4103193 4102706 4102811 4102231 4103370","5628546 5628377 5628425 5628209 5628568",5003,1467,383,133,39,26,26,32,34,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 2.8 km queuing traffic E20/M62 eastbound at Warrington 3.3 km slow traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 1.3 km queuing traffic",60.3,58.0409935403956
90,1,2017-01-01 00:00:00,2017-01-01 23:55:00,274,"4103193 4102706 4102811","5628546 5628377 5628425",5003,2780,383,205,39,32,32,32,39,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 2.8 km queuing traffic",23.9,303.648234522501
91,1,2017-01-01 00:00:00,2017-01-01 23:55:00,274,"4103193 4102706 4102811","5628546 5628377 5628425",5003,2780,383,205,39,32,32,32,39,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 2.8 km queuing traffic",23.9,189.618953443836
93,1,2017-01-01 00:00:00,2017-01-01 23:55:00,274,"4103193 4102706 4102811","5628546 5628377 5628425",5003,2780,383,205,39,32,32,32,39,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 2.8 km queuing traffic",23.9,46.010297939068
94,1,2017-01-01 00:00:00,2017-01-03 12:20:00,725,"4103193 4102706 4102811 4103696 4103370","5628546 5628377 5628425 5628610 5628568",5003,1467,383,133,39,26,26,32,35,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 2.8 km queuing traffic E20/M62 eastbound at Warrington 2.7 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 1.3 km queuing traffic",60.3,2.87006685942688
95,1,2017-01-01 00:00:00,2017-01-03 12:20:00,725,"4103193 4102706 4102811 4103696 4103370","5628546 5628377 5628425 5628610 5628568",5003,1467,383,133,39,26,26,32,35,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 2.8 km queuing traffic E20/M62 eastbound at Warrington 2.7 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 1.3 km queuing traffic",60.3,181.380630875814
96,1,2017-01-01 00:00:00,2017-01-01 14:05:00,152,"4103193 4102706","5628546 5628377",5003,4617,383,248,39,32,32,39,39,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic",14.1,28.700803475509
97,1,2017-01-01 00:00:00,2017-01-01 14:05:00,152,"4103193 4102706","5628546 5628377",5003,4617,383,248,39,32,32,39,39,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic",14.1,20.2935734883071
98,1,2017-01-01 00:00:00,2017-01-01 14:05:00,152,"4103193 4102706","5628546 5628377",5003,4617,383,248,39,32,32,39,39,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic",14.1,11.8319981293647
101,1,2017-01-01 00:00:00,2017-01-01 14:05:00,152,"4103193 4102706","5628546 5628377",5003,4617,383,248,39,32,32,39,39,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic",14.1,233.112878299911
102,1,2017-01-01 00:00:00,2017-01-01 14:05:00,152,"4103193 4102706","5628546 5628377",5003,4617,383,248,39,32,32,39,39,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic",14.1,497.719548372835
103,1,2017-01-01 00:00:00,2017-01-01 14:05:00,152,"4103193 4102706","5628546 5628377",5003,4617,383,248,39,32,32,39,39,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic",14.1,28.8438703709318
104,1,2017-01-01 00:00:00,2017-01-01 14:05:00,152,"4103193 4102706","5628546 5628377",5003,4617,383,248,39,32,32,39,39,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic",14.1,299.371671103071
105,1,2017-01-01 00:00:00,2017-01-01 14:05:00,152,"4103193 4102706","5628546 5628377",5003,4617,383,248,39,32,32,39,39,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic",14.1,73.1674236162711
107,1,2017-01-01 00:00:00,2017-01-01 14:05:00,152,"4103193 4102706","5628546 5628377",5003,4617,383,248,39,32,32,39,39,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 4.5 km slow traffic",14.1,59.1603276220389
108,1,2017-01-01 00:00:00,2017-01-01 04:25:00,45,"4103193","5628546",5003,5003,383,383,32,32,32,32,32,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic",4.4,6.41467068071608
109,1,2017-01-01 00:00:00,2017-01-01 04:25:00,45,"4103193","5628546",5003,5003,383,383,32,32,32,32,32,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic",4.4,36.2954534043919
110,1,2017-01-01 00:00:00,2017-01-01 04:25:00,45,"4103193","5628546",5003,5003,383,383,32,32,32,32,32,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic",4.4,107.127168589557
111,1,2017-01-01 00:00:00,2017-01-01 04:25:00,45,"4103193","5628546",5003,5003,383,383,32,32,32,32,32,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic",4.4,45.3688251664368
112,1,2017-01-01 00:00:00,2017-01-01 04:25:00,45,"4103193","5628546",5003,5003,383,383,32,32,32,32,32,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic",4.4,274.557771913423
114,1,2017-01-01 00:00:00,2017-01-01 04:25:00,45,"4103193","5628546",5003,5003,383,383,32,32,32,32,32,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic",4.4,274.278606817529
115,1,2017-01-01 00:00:00,2017-01-01 04:25:00,45,"4103193","5628546",5003,5003,383,383,32,32,32,32,32,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic",4.4,16.2146605155153
116,1,2017-01-01 00:00:00,2017-01-01 04:25:00,45,"4103193","5628546",5003,5003,383,383,32,32,32,32,32,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic",4.4,4.05364482418186
117,1,2017-01-01 00:00:00,2017-01-01 04:25:00,45,"4103193","5628546",5003,5003,383,383,32,32,32,32,32,"E20/M62 eastbound in direction Bolton/Manchester/Leeds at Warrington 5 km queuing traffic",4.4,184.692906770749
122,1,2017-01-01 00:00:00,2017-01-01 23:55:00,274,"4105281 4104933 4104271","5629148 5628926 5628712",4749,2700,199,97,54,36,36,48,54,"E20/M62 northeastern at Salford 4.8 km slow traffic E20/M62 northeastern at Salford 2.9 km queuing traffic E20/M62 eastbound at Warrington 2.8 km slow traffic",23.9,330.541206718714
128,1,2017-01-01 00:00:00,2017-01-01 14:05:00,152,"4105281 4104933","5629148 5628926",4749,3196,199,199,48,36,36,36,48,"E20/M62 northeastern at Salford 4.8 km slow traffic E20/M62 northeastern at Salford 2.9 km queuing traffic",14.1,216.455235176361
129,1,2017-01-01 00:00:00,2017-01-01 14:05:00,152,"4105281 4104933","5629148 5628926",4749,3196,199,199,48,36,36,36,48,"E20/M62 northeastern at Salford 4.8 km slow traffic E20/M62 northeastern at Salford 2.9 km queuing traffic",14.1,356.072996531337
132,1,2017-01-01 00:00:00,2017-01-01 14:05:00,152,"4105281 4104933","5629148 5628926",4749,3196,199,199,48,36,36,36,48,"E20/M62 northeastern at Salford 4.8 km slow traffic E20/M62 northeastern at Salford 2.9 km queuing traffic",14.1,440.636035796269
133,1,2017-01-01 00:00:00,2017-01-01 14:05:00,152,"4105281 4104933","5629148 5628926",4749,3196,199,199,48,36,36,36,48,"E20/M62 northeastern at Salford 4.8 km slow traffic E20/M62 northeastern at Salford 2.9 km queuing traffic",14.1,83.448150416757
135,1,2017-01-01 00:00:00,2017-01-01 14:05:00,152,"4105281 4104933","5629148 5628926",4749,3196,199,199,48,36,36,36,48,"E20/M62 northeastern at Salford 4.8 km slow traffic E20/M62 northeastern at Salford 2.9 km queuing traffic",14.1,219.128738035221
136,1,2017-01-01 00:00:00,2017-01-01 14:05:00,152,"4105281 4104933","5629148 5628926",4749,3196,199,199,48,36,36,36,48,"E20/M62 northeastern at Salford 4.8 km slow traffic E20/M62 northeastern at Salford 2.9 km queuing traffic",14.1,75.5662602234498
139,1,2017-01-01 00:00:00,2017-01-01 04:25:00,45,"4105281","5629148",4749,4749,199,199,48,48,48,48,48,"E20/M62 northeastern at Salford 4.8 km slow traffic",4.4,41.2876310504837
144,1,2017-01-01 00:00:00,2017-01-05 15:15:00,1321,"4105281 4105971 4106051 4105746 4105148","5629148 5629984 5630164 5629672 5629045",5567,737,311,17,59,37,38,40,42,"E20/M62 northeastern at Salford 4.8 km slow traffic E20/M62/M602 northeastern in direction M'cr City Centre/Salford/M602 at Salford 2 km slow traffic E20/M62 northeastern at Salford 2.1 km slow traffic E20/M62 northeastern at Salford 1.5 km slow traffic E20/M62 northeastern at Salford 2.9 km slow traffic E20/M62 northeastern at Salford 5.5 km slow traffic E20/M62 northeastern at Salford 623 m slow traffic E20/M62 northeastern at Salford 1.2 km slow traffic",111.2,85.8801091782213
149,1,2017-01-01 00:00:00,2017-01-05 15:15:00,1321,"4105281 4105971 4106051 4105746 4105148","5629148 5629984 5630164 5629672 5629045",5567,737,311,17,59,37,38,40,42,"E20/M62 northeastern at Salford 4.8 km slow traffic E20/M62/M602 northeastern in direction M'cr City Centre/Salford/M602 at Salford 2 km slow traffic E20/M62 northeastern at Salford 2.1 km slow traffic E20/M62 northeastern at Salford 1.5 km slow traffic E20/M62 northeastern at Salford 2.9 km slow traffic E20/M62 northeastern at Salford 5.5 km slow traffic E20/M62 northeastern at Salford 623 m slow traffic E20/M62 northeastern at Salford 1.2 km slow traffic",111.2,52.5293040760671
150,1,2017-01-01 00:00:00,2017-01-05 15:15:00,1321,"4105281 4105971 4106051 4105746 4105148","5629148 5629984 5630164 5629672 5629045",5567,737,311,17,59,37,38,40,42,"E20/M62 northeastern at Salford 4.8 km slow traffic E20/M62/M602 northeastern in direction M'cr City Centre/Salford/M602 at Salford 2 km slow traffic E20/M62 northeastern at Salford 2.1 km slow traffic E20/M62 northeastern at Salford 1.5 km slow traffic E20/M62 northeastern at Salford 2.9 km slow traffic E20/M62 northeastern at Salford 5.5 km slow traffic E20/M62 northeastern at Salford 623 m slow traffic E20/M62 northeastern at Salford 1.2 km slow traffic",111.2,120.732024888408
152,1,2017-01-01 00:00:00,2017-01-30 23:55:00,8640,"4105281 4105971 4106051 4105746 4105148 4106202 4106173 4106132 4106133 4101337","5629148 5629984 5630164 5629672 5629045 5630418 5630389 5630338 5630339 5628126",16910,363,311,17,80,33,53,80,80,"E20/M62 northeastern at Salford 4.8 km slow traffic E20/M62/M602 northeastern in direction M'cr City Centre/Salford/M602 at Salford 2 km slow traffic E20/M62 northeastern at Salford 2.1 km slow traffic E20/M62 northeastern at Salford 1.5 km slow traffic E20/M62 northeastern at Salford 2.9 km slow traffic E20/M62 northeastern at Salford 5.5 km slow traffic E20/M62 northeastern at Salford roadworks E20/M62 northeastern at Salford 1.2 km slow traffic E20/M62 northeastern at Salford 674 m slow traffic E20/M62 northeastern at Salford 999 m slow traffic E20/M62 northeastern at Salford 1.4 km slow traffic E20/M62 northeastern at Salford 359 m slow traffic E20/M62 northeastern at Salford 856 m slow traffic E20/M62/M602 northeastern in direction M'cr City Centre/Salford/M602 at Salford 1 km slow traffic E20/M62 northeastern at Salford 872 m slow traffic E20/M62 northeastern at Salford 1.3 km slow traffic E20/M62 eastbound in direction Leeds/Manchester/Bolton/M62 at Warrington roadworks",719.9,183.53435790909
